38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2024
ACEH,3696.14
SUMATERA UTARA,13234.26
SUMATERA BARAT,3955.88
RIAU,8815.68
JAMBI,2522.44
SUMATERA SELATAN,6513.57
BENGKULU,1230.11
LAMPUNG,5991.85
KEP. BANGKA BELITUNG,1593.5
KEP. RIAU,4664.31
DKI JAKARTA,38198.38
JAWA BARAT,61637.47
JAWA TENGAH,30391.43
DI YOGYAKARTA,3891.18
JAWA TIMUR,44311.84
BANTEN,28396.46
BALI,7301.36
NUSA TENGGARA BARAT,2853.13
NUSA TENGGARA TIMUR,1454.14
KALIMANTAN BARAT,3559.87
KALIMANTAN TENGAH,1978.76
KALIMANTAN SELATAN,3972.16
KALIMANTAN TIMUR,5948.01
KALIMANTAN UTARA,266.98
SULAWESI UTARA,2164.19
SULAWESI TENGAH,1804.62
SULAWESI SELATAN,8732.55
SULAWESI TENGGARA,1614.48
GORONTALO,770.93
SULAWESI BARAT,570.49
MALUKU,670.1
MALUKU UTARA,1356.62
PAPUA BARAT,720.64
PAPUA BARAT DAYA,-
PAPUA,1435.89
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,306219.42
