38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2019
ACEH,2781.5
SUMATERA UTARA,8324.86
SUMATERA BARAT,3445.08
RIAU,4646.79
JAMBI,1932
SUMATERA SELATAN,5258.23
BENGKULU,955.47
LAMPUNG,4686.09
KEP. BANGKA BELITUNG,1166.93
KEP. RIAU,3346.31
DKI JAKARTA,34107.88
JAWA BARAT,54480.28
JAWA TENGAH,24750.62
DI YOGYAKARTA,2856.95
JAWA TIMUR,37228.94
BANTEN,24646.11
BALI,5706.73
NUSA TENGGARA BARAT,1950.25
NUSA TENGGARA TIMUR,999.49
KALIMANTAN BARAT,2572.69
KALIMANTAN TENGAH,1358.77
KALIMANTAN SELATAN,2819.16
KALIMANTAN TIMUR,3952.88
KALIMANTAN UTARA,264.55
SULAWESI UTARA,1787.87
SULAWESI TENGAH,1146.23
SULAWESI SELATAN,5945.56
SULAWESI TENGGARA,986.89
GORONTALO,543.84
SULAWESI BARAT,380.08
MALUKU,519.13
MALUKU UTARA,537.52
PAPUA BARAT,510.01
PAPUA BARAT DAYA,-
PAPUA,1057.65
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,247653.33
