38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2012
ACEH,1755.06
SUMATERA UTARA,7809.32
SUMATERA BARAT,2649.08
RIAU,2723.81
JAMBI,860.39
SUMATERA SELATAN,3863.12
BENGKULU,566.95
LAMPUNG,2793.36
KEP. BANGKA BELITUNG,664.72
KEP. RIAU,2190.04
DKI JAKARTA,38168.75
JAWA BARAT,36655.28
JAWA TENGAH,16600.42
DI YOGYAKARTA,2043.75
JAWA TIMUR,26910.18
BANTEN,8457.8
BALI,3546.6
NUSA TENGGARA BARAT,976.39
NUSA TENGGARA TIMUR,567.32
KALIMANTAN BARAT,1603.72
KALIMANTAN TENGAH,752.34
KALIMANTAN SELATAN,1688.44
KALIMANTAN TIMUR,2502.32
KALIMANTAN UTARA,-
SULAWESI UTARA,1087.08
SULAWESI TENGAH,686.19
SULAWESI SELATAN,3639.63
SULAWESI TENGGARA,528.42
GORONTALO,293.13
SULAWESI BARAT,177.63
MALUKU,397.49
MALUKU UTARA,235.88
PAPUA BARAT,346.65
PAPUA BARAT DAYA,-
PAPUA,600.67
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,174341.92
