38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2015
ACEH,2119
SUMATERA UTARA,8703.67
SUMATERA BARAT,3063.28
RIAU,3586.45
JAMBI,1083.79
SUMATERA SELATAN,4783.02
BENGKULU,785.43
LAMPUNG,3571
KEP. BANGKA BELITUNG,861.52
KEP. RIAU,2694.79
DKI JAKARTA,41328.6
JAWA BARAT,44071.43
JAWA TENGAH,20408.19
DI YOGYAKARTA,2484.16
JAWA TIMUR,30824.81
BANTEN,8575.1
BALI,4594.18
NUSA TENGGARA BARAT,1402.3
NUSA TENGGARA TIMUR,749.76
KALIMANTAN BARAT,1989.63
KALIMANTAN TENGAH,1048.64
KALIMANTAN SELATAN,2187.64
KALIMANTAN TIMUR,3007.3
KALIMANTAN UTARA,206.5
SULAWESI UTARA,1302.58
SULAWESI TENGAH,948.78
SULAWESI SELATAN,4479.46
SULAWESI TENGGARA,703.59
GORONTALO,398.82
SULAWESI BARAT,258.7
MALUKU,509.51
MALUKU UTARA,329.44
PAPUA BARAT,455.58
PAPUA BARAT DAYA,-
PAPUA,763.32
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,204279.97
