38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2013
ACEH,1815.04
SUMATERA UTARA,7917.24
SUMATERA BARAT,2712.85
RIAU,3597.44
JAMBI,955.66
SUMATERA SELATAN,4162.09
BENGKULU,641.52
LAMPUNG,3182.21
KEP. BANGKA BELITUNG,721.24
KEP. RIAU,2421.92
DKI JAKARTA,39937.28
JAWA BARAT,39092.56
JAWA TENGAH,18205.08
DI YOGYAKARTA,2205.79
JAWA TIMUR,28708.11
BANTEN,9750.37
BALI,3914.32
NUSA TENGGARA BARAT,1133.33
NUSA TENGGARA TIMUR,639.57
KALIMANTAN BARAT,1889.39
KALIMANTAN TENGAH,854.78
KALIMANTAN SELATAN,1880.66
KALIMANTAN TIMUR,2731.58
KALIMANTAN UTARA,180.73
SULAWESI UTARA,1192.52
SULAWESI TENGAH,758.7
SULAWESI SELATAN,4156.49
SULAWESI TENGGARA,621.64
GORONTALO,328.4
SULAWESI BARAT,207.59
MALUKU,469.96
MALUKU UTARA,259.1
PAPUA BARAT,383.99
PAPUA BARAT DAYA,-
PAPUA,713.26
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,188342.41
