38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2011
ACEH,1579.77
SUMATERA UTARA,7194.03
SUMATERA BARAT,2403.1
RIAU,2361.15
JAMBI,1054.17
SUMATERA SELATAN,2978.86
BENGKULU,493.95
LAMPUNG,2425.94
KEP. BANGKA BELITUNG,535.61
KEP. RIAU,2010.3
DKI JAKARTA,35061.38
JAWA BARAT,34053.6
JAWA TENGAH,15315.89
DI YOGYAKARTA,1869.77
JAWA TIMUR,24018.69
BANTEN,7955.54
BALI,3223.94
NUSA TENGGARA BARAT,837.17
NUSA TENGGARA TIMUR,486.91
KALIMANTAN BARAT,1434.72
KALIMANTAN TENGAH,649.95
KALIMANTAN SELATAN,1467.13
KALIMANTAN TIMUR,2277.22
KALIMANTAN UTARA,-
SULAWESI UTARA,986.62
SULAWESI TENGAH,574.71
SULAWESI SELATAN,3246.42
SULAWESI TENGGARA,441.08
GORONTALO,236.52
SULAWESI BARAT,151.52
MALUKU,336.69
MALUKU UTARA,204.67
PAPUA BARAT,305.08
PAPUA BARAT DAYA,-
PAPUA,522.8
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,158694.89
