38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2014
ACEH,1965.55
SUMATERA UTARA,8271.01
SUMATERA BARAT,3005.26
RIAU,3338.33
JAMBI,1037.45
SUMATERA SELATAN,4477.49
BENGKULU,729.64
LAMPUNG,3392.44
KEP. BANGKA BELITUNG,805.43
KEP. RIAU,2618.48
DKI JAKARTA,41269.03
JAWA BARAT,43096.46
JAWA TENGAH,19631.46
DI YOGYAKARTA,2369.6
JAWA TIMUR,30523.98
BANTEN,8562.97
BALI,4335.03
NUSA TENGGARA BARAT,1291.47
NUSA TENGGARA TIMUR,702.26
KALIMANTAN BARAT,1862.44
KALIMANTAN TENGAH,970.16
KALIMANTAN SELATAN,2092.23
KALIMANTAN TIMUR,2815.55
KALIMANTAN UTARA,199.37
SULAWESI UTARA,1240.32
SULAWESI TENGAH,865.77
SULAWESI SELATAN,4339.22
SULAWESI TENGGARA,670.71
GORONTALO,366.08
SULAWESI BARAT,238.03
MALUKU,480.08
MALUKU UTARA,309.37
PAPUA BARAT,430.63
PAPUA BARAT DAYA,-
PAPUA,724.78
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,199028.08
